team,base,average_aika,average_eteneminen,monthy
1011,1,4.0577778979592244694,4.4141036326530560612,6
1002,1,4.0151481470588138529,4.3137915882353034118,6
1011,2,4.0388778918920399730,4.4321506486487394595,6
1002,2,3.9854932121212654848,4.2879163333333385455,6
1002,3,5.0912266129031753548,5.8647726774193989677,6
1011,3,5.0646491578946600526,5.5533183157895109474,6
1015,2,4.0201716249999890313,4.3476699999998800313,6
1009,3,5.1995498750002203333,5.6192745416666696250,6
1015,1,4.0027327115384423654,4.3335010769230673846,6
1009,2,4.0399690606059747576,4.3860276969694703030,6
1015,3,5.1743481250001935625,5.6583851875002438750,6
1009,1,4.0469027954544107500,4.3756437045453770455,6
1013,3,5.2061251612904457419,5.7506398387097526774,6
1013,2,4.0827577037037844444,4.4116454074074783704,6
1012,3,5.0691661379310220345,5.6450265517241390690,6
1012,2,4.0031788292684967317,4.3680559024391098293,6
1012,1,4.0178913043478330435,4.4113684999999014348,6
1013,1,4.0544841463416094390,4.3691168536585525610,6
1005,3,5.0421212083333747083,5.5915079374999455833,6
1008,1,4.1403893409091820682,4.4658425227273090909,6
1001,2,4.1005576444444664000,4.4201121777777542444,6
1001,3,5.0897507941176560588,5.7869540882353476765,6
1001,1,4.0335020816327351429,4.3637911020407409184,6
1008,3,5.1950161351352673784,5.6382575135136437568,6
1008,2,4.0962036000000158857,4.4099162857142282000,6
1014,1,4.0670538500000191250,4.3861298500000999250,6
1014,3,5.1776821578948305789,5.8414099210527207368,6
1014,2,4.0555696744185416047,4.3712292558138713023,6
1005,2,3.9417923958333935208,4.2777340416667282292,6
1005,1,4.0046355333334050889,4.3144465111111458222,6
1004,2,3.9935860238095279286,4.3073947857143312857,6
1003,2,3.9509170983607321967,4.2755667868852067705,6
1003,1,3.9765315283018867547,4.2893188113207415660,6
1004,3,5.0400177647058323137,5.7545253137253734314,6
1004,1,3.9682544583334145208,4.2670033750000016667,6
1003,3,5.0632987058823204510,5.5949467254902844118,6
1006,2,3.9741600408163471224,4.3370989999999550204,6
1006,1,4.0128480500001046000,4.3778465499999867500,6
1006,3,5.1507936470586962941,5.5719671176470510000,6
1010,1,4.0702350638297687234,4.4031149787233855745,6
1010,2,4.0336695111112022222,4.3787762222222025778,6
1010,3,5.1595536176469736765,5.7813166470588492647,6
1007,2,4.0597008000000086222,4.3872557111111645333,6
1007,1,3.9636344888889349111,4.2680780444444381333,6
1007,3,5.1183240000000297143,5.5137508857142880857,6
1013,1,4.0414235609756560000,4.3482517804878492927,7
1013,2,4.1025843095237200000,4.3670285000000387381,7
1009,1,4.0120646619718691549,4.3568523661971937324,7
1013,3,5.1204367954545866818,5.7313447045454805455,7
1009,3,5.0683931833333872333,5.6343921166667163667,7
1009,2,4.0607196000000700308,4.3997958615384539846,7
1011,2,3.9564748372093501860,4.2629856511628235814,7
1011,1,3.9924037551020086939,4.3124030816327052041,7
1006,3,5.0084671764705970980,5.7312208627450744118,7
1006,1,3.9747768064516307258,4.3286465645161673548,7
1006,2,3.9942270294117580735,4.3309905441176363824,7
1010,1,4.0449053469387114286,4.3865370816325938571,7
1007,2,4.1105270344828019655,4.5072647068966254310,7
1007,3,5.0864080750000767000,5.8334052499999586500,7
1007,1,4.0259552368421031184,4.3661025921052543947,7
1010,2,4.0356468571428284643,4.3852887499999765357,7
1010,3,5.0301679428571333714,5.7148664285714858571,7
1011,3,5.0576214333333535333,5.3342868999999231000,7
1002,1,4.0252015423729354915,4.3865564237288809153,7
1003,1,3.9719394133333844400,4.2762046399999356533,7
1003,2,3.9350301142857461286,4.2662654285714358000,7
1002,3,5.1071905555554521556,5.7258551999999933556,7
1002,2,3.9905830740740427407,4.3335450185184704815,7
1003,3,5.0204788823529109608,5.5200849999998720196,7
1002,NULL,4.1864390000000640000,4.4864349999998010000,7
1012,2,3.9978473448276543276,4.3470640000000653966,7
1015,2,4.0393334042553015319,4.3980551914893364043,7
1015,1,3.9359379399999443000,4.2471367200000168400,7
