team,base,average_aika,average_eteneminen,week
2012,1,4.3066636666667366667,4.6599913333335130000,22
2005,3,5.1399997000001804000,6.0479981000002454000,22
2012,2,4.0199999999999820000,4.3199990000002800000,22
2005,2,3.7549940000005790000,4.0199927500002560000,22
2005,1,4.1799973333337826667,4.5266616666670720000,22
2008,1,4.2899999999995095000,4.5899795000000270000,22
2010,2,3.8849874999997382500,4.1799812499998552500,22
2010,3,5.2119864000000234000,5.7679822000000058000,22
2008,3,5.4600000000000360000,6.0399980000001960000,22
2010,1,4.0933303333331426667,4.3399953333331120000,22
2008,2,3.9399966666668053333,4.2266633333335146667,22
2004,2,3.8686373333339356667,4.2778270000003430000,22
2004,1,4.1948041250000190000,4.6316506249999067500,22
2006,1,4.0300870000002077500,4.5108445000001892500,22
2004,NULL,4.0120829999996200000,4.3720809999995250000,22
2006,2,3.9964110000000800000,4.3897373333335660000,22
2006,3,5.1503644999993405000,5.5062759999991610000,22
2004,3,5.4842339999995600000,5.9916909999992640000,22
2005,3,5.1951164999999406250,5.7276149375000074375,23
2004,1,4.0882585999999717000,4.4602576000000454000,23
2005,1,4.0822942499999613750,4.4097932500000070000,23
2005,2,3.9366613333333285556,4.2832251111112528889,23
2004,2,4.0979711999999384000,4.5179704000001948000,23
2004,3,5.1748865000004120000,7.3848850000003950000,23
2002,1,4.1639977999998340000,4.4439975999997844000,23
2007,1,4.0563707857144372143,4.3414127142858823571,23
2007,2,3.8304197999999814000,4.1504169999997884000,23
2002,2,4.0049987500000270000,4.2849967500008005000,23
2007,3,5.1868628333334831667,5.8001934999999018333,23
2002,3,5.2999900000004350000,5.5999715000002655000,23
2006,2,4.0524981249999997500,4.3401617499998225000,23
2010,3,5.1111103333333732222,5.5244428888890980000,23
2010,1,3.9714244285711564286,4.2742809999999735714,23
2006,1,4.0999984444444331111,4.4799970000000637778,23
2006,3,5.1799992857149194286,6.0555521428575177143,23
2010,2,3.8773305999998834667,4.1733289333333989333,23
2011,2,3.9980292142858096429,4.3762575000001627143,23
2011,3,5.1815817142855849286,5.8587237857140541429,23
2011,1,3.9607742307692451538,4.3300036923076277692,23
2012,1,4.1313064999997095000,4.6013064999997370000,23
2012,2,4.0564225000000535000,4.5614225000000490000,23
2013,3,5.1801695000004505000,5.5425180000002760000,23
2013,2,3.9291060909092930000,4.2536426363636897273,23
2012,3,5.4300000000000640000,6.0200000000002095000,23
2008,1,4.1574766000003362000,4.4814757999999528000,23
2008,3,5.3389150000000425000,5.6889150000001790000,23
2013,1,4.1113436363635133636,4.4186147272725562727,23
2008,3,5.1924952307692996154,5.7601851538462983846,24
2005,2,3.9426419285714474286,4.2697838571427837143,24
2005,1,4.0362297777780642222,4.3940072222223735556,24
2008,1,4.1537856666666925833,4.4821181666664908333,24
2008,2,3.9672027272725413636,4.3853839090908301818,24
2005,3,5.2512172222221427778,6.3423267777776446667,24
2013,3,5.0828561428571188571,5.4428550000002037143,24
2013,2,3.8422194444447337778,4.1599958888890443333,24
2013,1,3.9872709999999229091,4.3436324545453896364,24
2009,3,5.2296685000003435000,7.2296484999999395000,24
2009,1,4.1178559090910146364,4.5214908181819118182,24
2003,1,4.0767967777781752222,4.3879067777781730000,23
2003,3,5.3808040000000802000,6.0408022000000530000,23
2003,2,4.1026331666665406667,4.4626316666665390000,23
2001,2,4.1478681999998116000,4.4558676000001468000,23
2001,3,5.2355212500000337500,6.3555189999999585000,23
2001,1,4.1694616666673033333,4.6161280000002690000,23
2002,1,3.9333303333330601667,4.4199963333326953333,24
2002,3,5.0899974999997545000,5.6299975000001725000,24
2002,2,3.8919973999997636000,4.3279945999998744000,24
2011,2,3.8850542857140744286,4.2964818571429402857,24
2011,3,5.0950393333334130000,6.0650361666667625000,24
2001,2,4.0080377000000225000,4.4200372000001153000,24
2011,1,3.9604623076922963846,4.3466147692307949231,24
2001,3,5.2447411818184263636,6.1738289090909679091,24
2001,1,4.0556568333334626667,4.4923233333334640000,24
2006,3,5.1419992000000094000,5.6279969000000619000,24
2006,1,3.9666629999998503333,4.2466626666667556667,24
2012,1,4.1793005555556293333,4.5592983333331682222,24
2012,2,4.2004105714286197143,4.5146918571426470000,24
2006,2,3.8304446000001920000,4.1584429999998068000,24
2003,3,5.1639976000001296000,5.4359950000000934000,24
2004,1,4.2883305000001426250,4.6408299999999940000,24
2003,1,4.0149992499999597500,4.3466654999999718333,24
2003,2,3.8816643333333710833,4.2299971666664646667,24
2004,3,5.3526349999998881667,5.8059671666668086667,24
